disease_id,disease_name,aliases,overview,symptoms,home_remedies,precautions,when_to_see_doctor
1,Diabetes,"diabetes mellitus|high blood sugar|sugar disease","Diabetes is a chronic condition affecting how the body processes blood sugar. Poor control can lead to serious complications over time.","frequent urination|increased thirst|fatigue|blurred vision|slow healing","balanced diet|regular exercise|hydrate well|monitor glucose","avoid sugar|regular checkups|healthy weight","persistent high sugar|vision issues|non healing wounds"
2,Asthma,"bronchial asthma|asthmatic condition","Asthma causes inflammation and narrowing of airways. It leads to difficulty breathing and can be triggered by allergens.","wheezing|shortness of breath|cough|chest tightness|night breathing issues","avoid triggers|use inhaler|breathing exercises","avoid smoke|clean air|carry inhaler","severe breathing issue|blue lips|no inhaler relief"
3,Hypertension,"high blood pressure|bp","Hypertension is high pressure in blood vessels over time. It increases risk of heart disease and stroke.","headache|dizziness|nosebleeds|blurred vision|often none","low salt diet|exercise|stress control","regular bp checks|avoid alcohol|healthy weight","very high bp|chest pain|severe headache"
4,Common Cold,"cold|viral cold","A mild viral infection of nose and throat. It usually resolves within a week.","runny nose|sneezing|cough|sore throat|mild fever","steam|rest|warm fluids|honey","wash hands|avoid contact|stay warm","long duration|high fever|breathing issue"
5,Influenza,"flu|seasonal flu","Influenza is a contagious viral infection affecting respiratory system. It can cause moderate to severe illness.","fever|chills|body ache|fatigue|dry cough","rest|fluids|warm soup|medication","vaccination|avoid crowds|mask use","breathing issue|chest pain|persistent fever"
6,Migraine,"severe headache|migraine attack","Migraine is a neurological disorder causing intense headaches. It often comes with nausea and sensitivity.","throbbing pain|nausea|vomiting|light sensitivity|blurred vision","dark room|cold compress|rest|hydration","avoid triggers|sleep routine|limit screen","frequent attacks|vision issues|speech difficulty"
7,Anemia,"low hemoglobin|iron deficiency","Anemia is a condition with low red blood cells. It reduces oxygen supply in the body.","fatigue|pale skin|dizziness|shortness breath|weakness","iron rich diet|vitamin c intake|hydration","balanced diet|regular checkups","severe fatigue|chest pain|irregular heartbeat"
8,Gastritis,"stomach inflammation|gas problem","Gastritis is inflammation of stomach lining. It may be caused by infection or diet.","stomach pain|bloating|nausea|indigestion|vomiting","avoid spicy food|eat light meals|warm water","limit alcohol|avoid smoking|timely meals","blood in vomit|severe pain|black stool"
9,Acid Reflux,"gerd|heartburn","Acid reflux occurs when stomach acid flows back to esophagus. It causes burning sensation.","heartburn|chest discomfort|sour taste|difficulty swallowing|cough","avoid oily food|small meals|upright posture","avoid late eating|weight control|limit caffeine","frequent heartburn|chest pain|swallowing difficulty"
10,COVID-19,"coronavirus|covid infection","COVID-19 is a contagious viral respiratory illness. It can range from mild to severe symptoms.","fever|cough|loss smell|fatigue|breathing issue","rest|hydration|isolation|medication","mask|vaccination|hygiene","low oxygen|chest pain|confusion"

11,Dengue,"dengue fever|breakbone fever","Dengue is a mosquito-borne viral disease. It causes high fever and severe joint pain.","high fever|joint pain|rash|headache|nausea","fluids|rest|papaya leaf juice","avoid mosquitoes|clean water areas","platelet drop|bleeding|severe weakness"
12,Malaria,"plasmodium infection","Malaria is caused by parasites transmitted by mosquitoes. It leads to fever cycles.","fever|chills|sweating|headache|vomiting","hydration|rest|light diet","mosquito nets|repellents","persistent fever|confusion"
13,Typhoid,"enteric fever","Typhoid is bacterial infection spread via contaminated food or water. It causes prolonged fever.","high fever|weakness|abdominal pain|loss appetite|headache","boiled water|light diet|rest","clean food|hand hygiene","persistent fever|delirium"
14,Food Poisoning,"foodborne illness","Food poisoning occurs from consuming contaminated food. It affects digestive system.","vomiting|diarrhea|stomach cramps|fever|weakness","ors|rest|hydration","eat fresh food|hygiene","dehydration|blood in stool"
15,Chickenpox,"varicella","Chickenpox is a contagious viral infection causing itchy rash. It spreads easily.","rash|itching|fever|fatigue|loss appetite","oatmeal bath|calamine lotion|rest","avoid contact|hygiene","severe rash|infection"
16,Allergy,"allergic reaction","Allergy occurs when immune system reacts to harmless substances. It can affect skin or breathing.","sneezing|itching|rash|swelling|runny nose","avoid allergen|antihistamine|hydration","clean surroundings","severe swelling|breathing issue"
17,Bronchitis,"chest infection","Bronchitis is inflammation of bronchial tubes. It causes cough and mucus.","cough|mucus|fatigue|chest discomfort|short breath","steam|rest|warm fluids","avoid smoke","persistent cough|breathing issue"
18,Pneumonia,"lung infection","Pneumonia is infection of lungs causing fluid buildup. It can be serious if untreated.","fever|cough|chest pain|breathing issue|fatigue","rest|fluids|medication","vaccination","difficulty breathing|high fever"
19,Arthritis,"joint inflammation","Arthritis causes inflammation and stiffness in joints. It affects mobility.","joint pain|swelling|stiffness|reduced motion|tenderness","exercise|heat therapy|diet","healthy weight","severe pain|joint deformity"
20,Obesity,"overweight","Obesity is excessive body fat accumulation. It increases risk of many diseases.","weight gain|fatigue|breathing issue|joint pain","diet control|exercise","healthy lifestyle","health complications"
21,Depression,"major depressive disorder","Depression is a mental health condition affecting mood. It causes persistent sadness.","sadness|loss interest|fatigue|sleep issues|hopelessness","therapy|exercise|social support","avoid isolation","suicidal thoughts"
22,Anxiety,"anxiety disorder","Anxiety involves excessive worry and fear. It can interfere with daily life.","restlessness|fear|rapid heartbeat|sweating|insomnia","meditation|breathing exercises","stress management","panic attacks"
23,Stroke,"brain attack","Stroke occurs when blood flow to brain is interrupted. It is a medical emergency.","weakness|speech problem|vision issues|confusion|headache","none immediate","control bp","sudden symptoms"
